id_ciudad;id_estado;ciudad
243;12;Miami Beach
244;12;Miami Gardens
245;12;Miami Lakes
246;12;Miami Shores
247;12;Miami Springs
248;12;Micanopy
249;12;Midway
250;12;Milton
251;12;Minneola
252;12;Miramar
253;12;Monticello
254;12;Montverde
255;12;Moore Haven
256;12;Mount Dora
257;12;Mulberry
258;12;Naples
259;12;Neptune Beach
260;12;New Port Richey
261;12;New Smyrna Beach
262;12;Newberry
263;12;Niceville
264;12;Noma
265;12;North Bay Village
266;12;North Lauderdale
267;12;North Miami
268;12;North Miami Beach
269;12;North Palm Beach
270;12;North Port
271;12;North Redington Beach
272;12;Oak Hill
273;12;Oakland
274;12;Oakland Park
275;12;Ocala
276;12;Ocean Breeze
277;12;Ocean Ridge
278;12;Ocoee
279;12;Okeechobee
280;12;Oldsmar
281;12;Opa-locka
282;12;Orange City
283;12;Orange Park
284;12;Orchid
285;12;Orlando
286;12;Ormond Beach
287;12;Otter Creek
288;12;Oviedo
289;12;Pahokee
290;12;Palatka
291;12;Palm Bay
292;12;Palm Beach
293;12;Palm Beach Gardens
294;12;Palm Beach Shores
295;12;Palm Coast
296;12;Palm Shores
297;12;Palm Springs
298;12;Palmetto
299;12;Palmetto Bay
300;12;Panama City
301;12;Panama City Beach
302;12;Parker
303;12;Parkland
304;12;Paxton
305;12;Pembroke Park
306;12;Pembroke Pines
307;12;Penney Farms
308;12;Pensacola
309;12;Perry
310;12;Pierson
311;12;Pinecrest
312;12;Pinellas Park
313;12;Plant City
314;12;Plantation
315;12;Polk City
316;12;Pomona Park
317;12;Pompano Beach
318;12;Ponce de Leon
319;12;Ponce Inlet
320;12;Port Orange
321;12;Port Richey
322;12;Port St. Joe
323;12;Port St. Lucie
324;12;Punta Gorda
325;12;Quincy
326;12;Raiford
327;12;Reddick
328;12;Redington Beach
329;12;Redington Shores
330;12;Riviera Beach
331;12;Rockledge
332;12;Royal Palm Beach
333;12;Safety Harbor
334;12;San Antonio
335;12;Sanford
336;12;Sanibel
337;12;Sarasota
338;12;Satellite Beach
339;12;Sea Ranch Lakes
340;12;Sebastian
341;12;Sebring
342;12;Seminole
343;12;Sewall's Point
344;12;Shalimar
345;12;Sneads
346;12;Sopchoppy
347;12;South Bay
348;12;South Daytona
349;12;South Miami
350;12;South Palm Beach
351;12;South Pasadena
352;12;Southwest Ranches
353;12;Springfield
354;12;St. Augustine
355;12;St. Augustine Beach
356;12;St. Cloud
357;12;St. Leo
358;12;St. Lucie Village
359;12;St. Marks
360;12;St. Pete Beach
361;12;St. Petersburg
362;12;Starke
363;12;Stuart
364;12;Sunny Isles Beach
365;12;Sunrise
366;12;Surfside
367;12;Sweetwater
368;12;Tallahassee
369;12;Tamarac
370;12;Tampa
371;12;Tarpon Springs
372;12;Tavares
373;12;Temple Terrace
374;12;Tequesta
375;12;Titusville
376;12;Treasure Island
377;12;Trenton
378;12;Umatilla
379;12;Valparaiso
380;12;Venice
381;12;Vernon
382;12;Vero Beach
383;12;Virginia Gardens
384;12;Waldo
385;12;Wauchula
386;12;Wausau
387;12;Webster
388;12;Welaka
389;12;Wellington
390;12;Westlake
391;12;West Melbourne
392;12;West Miami
393;12;West Palm Beach
394;12;West Park
395;12;Weston
396;12;Westville
397;12;Wewahitchka
398;12;White Springs
399;12;Wildwood
400;12;Williston
401;12;Wilton Manors
402;12;Windermere
403;12;Winter Garden
404;12;Winter Haven
405;12;Winter Park
406;12;Winter Springs
407;12;Worthington Springs
408;12;Yankeetown
409;12;Zephyrhills
410;12;Zolfo Springs
