,id_categoria,categoria
554,567,egg supplier
555,568,tiki bar
556,569,fondue restaurant
557,570,orchard
558,571,karaoke equipment rental service
559,572,movie studio
560,573,pie shop
561,574,apartment building
562,575,pilates studio
563,576,ballroom
564,577,function room facility
565,578,beach pavillion
566,579,canoe and kayak club
567,580,tack shop
568,581,helicopter tour agency
569,582,vintage clothing store
570,583,alternative medicine practitioner
571,584,holistic medicine practitioner
572,585,ice supplier
573,586,souvenir store
574,587,airbrushing service
575,588,boot camp
576,589,weightlifting area
577,591,halal restaurant
578,592,golf course
579,593,country club
580,594,musical club
581,595,social club
582,596,israeli restaurant
583,597,business to business service
584,598,pipe supplier
585,599,scale supplier
586,601,karate school
587,602,medical clinic
588,603,russian grocery store
589,604,dried seafood store
590,605,frozen food store
591,606,billiards supply store
592,607,dart supply store
593,608,cheese manufacturer
594,609,izakaya restaurant
595,610,fastener supplier
596,611,swimming pool supply store
597,612,water softening equipment supplier
598,613,upholstery shop
599,614,mattress store
600,615,bed shop
601,616,bedding store
602,617,bedroom furniture store
603,618,futon store
604,619,linens store
605,620,boat rental service
606,621,aviation consultant
607,622,alternative fuel station
608,623,food and beverage exporter
609,624,meditation center
610,625,building materials supplier
611,626,ceiling supplier
612,627,concrete metal framework supplier
613,628,dry wall supply store
614,629,insulation materials store
615,630,lumber store
616,631,plywood supplier
617,632,tool store
618,633,wildlife refuge
619,634,golf course builder
620,635,swimming pool
621,636,tea manufacturer
622,637,spices wholesalers
623,638,meat wholesaler
624,639,laotian restaurant
625,640,po boys restaurant
626,641,fishing pond
627,642,movie theater
628,643,arts organization
629,644,conference center
630,645,wedding chapel
631,646,dairy farm
632,647,home audio store
633,648,electronics repair shop
634,649,home theater store
635,650,stereo repair service
636,651,childrens amusement center
637,652,school
638,653,golf club
639,654,post office
640,655,wholesale market
641,656,fence supply store
642,657,pvc industry
643,658,security system supplier
644,659,steel distributor
645,660,wood supplier
646,661,home automation company
647,662,audio visual consultant
648,663,business networking company
649,664,lighting consultant
650,665,lighting contractor
651,666,security system installer
652,667,telecommunications contractor
653,668,video conferencing service
654,669,nature preserve
655,670,hiking area
656,671,learning center
657,672,museum
658,673,car stereo store
659,674,auto accessories wholesaler
660,675,auto electrical service
661,676,car accessories store
662,677,car alarm supplier
663,679,truck accessories store
664,680,building materials store
665,681,roofing supply store
666,682,appliance store
667,683,appliance parts supplier
668,684,appliances customer service
669,685,washer  dryer store
670,686,music
671,687,christian book store
672,688,day care center
673,689,electric vehicle charging station
674,690,bank
675,691,nut store
676,692,house cleaning service
677,693,carpet cleaning service
678,694,commercial cleaning service
679,695,janitorial service
680,696,painting
681,697,pressure washing service
682,698,professional organizer
683,699,eclectic restaurant
684,700,stage
685,702,chinese takeaway
686,703,greenhouse
687,704,livestock breeder
688,705,graphic designer
689,706,livestock producer
690,707,romanian restaurant
691,708,hungarian restaurant
692,709,basketball court
693,711,mexican goods store
694,712,biryani restaurant
695,713,passport photo processor
696,714,photo lab
697,715,photo shop
698,716,dry cleaner
699,717,travel clinic
700,718,painting lessons
701,719,audio visual equipment supplier
702,720,home cinema installation
703,721,landscape lighting designer
704,722,chinese bakery
705,723,roofing contractor
706,724,solar energy equipment supplier
707,725,religious goods store
708,726,patio enclosure supplier
709,727,home improvement store
710,728,kitchen furniture store
711,729,lighting store
712,730,paving materials supplier
713,731,screen repair service
714,732,screen store
715,733,window installation service
716,734,convention center
717,735,meeting planning service
718,736,education center
719,737,agricultural production
720,740,furniture rental service
721,741,appliance rental service
722,742,childrens furniture store
723,743,baby store
724,744,internet marketing service
725,745,gps supplier
726,746,yacht club
727,747,fusion restaurant
728,749,television repair service
729,750,filipino restaurant
730,751,park
731,753,churreria
732,754,cabinet store
733,755,countertop store
734,757,cabaret club
735,758,golf driving range
736,759,golf instructor
737,760,public golf course
738,761,bangladeshi restaurant
739,762,australian restaurant
740,763,charcuterie
741,764,chinese tea house
742,767,chocolate artisan
743,768,chocolate factory
744,769,corporate gift supplier
745,770,authentic japanese restaurant
746,771,teppanyaki restaurant
747,773,soccer field
748,774,soccer club
749,775,fruit and vegetable processing
750,776,japanese cheap sweets shop
751,777,paving contractor
752,778,contemporary louisiana restaurant
753,780,poke bar
754,781,floridian restaurant
755,782,entertainment
756,784,singaporean restaurant
757,785,italian grocery store
758,786,shoe repair shop
759,787,boot repair shop
760,788,diabetes equipment supplier
761,789,leather cleaning service
762,790,leather repair service
763,791,orthopedic shoe store
764,792,orthotics  prosthetics service
765,793,shoe shining service
766,794,shoe store
767,795,fingerprinting service
768,796,importer
769,797,glass  mirror shop
770,799,wicker store
771,800,guatemalan restaurant
772,801,ethiopian restaurant
773,802,makeup artist
774,803,childrens clothing store
775,804,kiosk
776,806,pet store
777,807,pet groomer
778,808,uruguayan restaurant
779,809,canadian restaurant
780,810,coworking space
781,811,shipping and mailing service
782,812,pizza takeaway
783,813,meal delivery
784,814,sports nutrition store
785,815,selfcatering accommodation
786,816,cold storage facility
787,817,office space rental agency
788,818,californian restaurant
789,819,cruise agency
790,820,boat accessories supplier
791,821,boat dealer
792,822,boat ramp
793,823,boat repair shop
794,824,boating instructor
795,825,english restaurant
796,826,porridge restaurant
797,830,jewelry store
798,831,bowling club
799,833,laundromat
800,834,angler fish restaurant
801,835,mongolian barbecue restaurant
802,836,sightseeing tour agency
803,837,aircraft rental service
804,838,parasailing ride service
805,839,tourist information center
806,840,amusement park
807,842,ice skating rink
808,843,swedish restaurant
809,844,fish processing
810,845,blues club
811,847,notary public
812,848,translator
813,849,historical landmark
814,850,rice restaurant
815,851,hobby store
816,853,stadium
817,854,plaza
818,855,seminary
819,856,scooter rental service
820,857,fruit parlor
821,858,panlatin restaurant
822,859,scandinavian restaurant
823,860,travel agency
824,861,apartment rental agency
825,862,bus tour agency
826,863,vacation home rental agency
827,864,tennis club
828,865,golf shop
829,866,indoor golf course
830,867,fish and chips takeaway
831,868,adult entertainment store
832,869,lingerie store
833,870,greengrocer
834,871,transportation service
835,873,cantonese restaurant
836,874,botanical garden
837,875,pain control clinic
838,876,childrens book store
839,877,tamale shop
840,878,dance restaurant
841,879,stand bar
842,880,shawarma restaurant
843,881,animal park
844,882,scenic spot
845,883,punjabi restaurant
846,884,chophouse restaurant
847,886,japanese grocery store
848,887,korean grocery store
849,888,bocce ball court
850,889,exhibit
851,890,massage spa
852,891,swim club
853,892,tennis court
854,893,pier
855,894,new england restaurant
856,895,barber shop
857,896,boat cover supplier
858,897,sicilian restaurant
859,898,portuguese restaurant
860,899,adventure sports
861,900,aerial sports center
862,901,horseback riding service
863,902,brasserie
864,903,taiwanese restaurant
865,904,olive oil bottling company
866,905,event management company
867,906,mandarin restaurant
868,907,rest stop
869,908,art museum
870,909,historical society
871,910,history museum
872,912,technology museum
873,913,hat shop
874,914,food bank
875,915,social services organization
876,916,video game store
877,917,embroidery service
878,918,patisserie
879,919,plumber
880,920,dress store
881,921,sportswear store
882,922,tshirt store
883,923,western apparel store
884,924,belt shop
885,925,boot store
886,926,jeans shop
887,927,leather goods store
888,928,work clothes store
889,929,artist
890,930,art center
891,931,chinaware store
892,932,cutlery store
893,933,barbecue area
894,934,neapolitan restaurant
895,935,yakitori restaurant
896,936,jewish restaurant
897,937,chocolate cafe
898,938,assemblies of god church
899,939,christian church
900,940,baptist church
901,941,religious organization
902,942,wellness program
903,943,copy shop
904,944,mailbox rental service
905,945,packaging supply store
906,946,print shop
907,947,promotional products supplier
908,948,miniature golf course
909,949,pentecostal church
910,950,baseball field
911,951,sports complex
912,952,youth organization
913,953,disco club
914,954,casino
915,955,frituur
916,956,university library
917,957,asian household goods store
918,958,udon noodle restaurant
919,959,walkin clinic
920,960,egyptian restaurant
921,961,herbal medicine store
922,963,used book store
923,964,department store
924,965,eye care center
925,966,optometrist
926,967,chiropractor
927,968,family practice physician
928,969,naturopathic practitioner
929,970,physical therapy clinic
930,972,sports medicine physician
931,973,physical therapist
932,974,rehabilitation center
933,975,cat boarding service
934,977,proctologist
935,978,gastroenterologist
936,979,surgeon
937,980,glass blower
938,981,boat builders
939,982,plant nursery
940,983,tanning salon
941,984,roller skating rink
942,986,baseball
943,987,childrens party buffet
944,988,tuscan restaurant
945,989,rock shop
946,990,horse boarding stable
947,991,horse trainer
948,992,pony ride service
949,993,antique furniture restoration service
950,994,quilt shop
951,995,fabric store
952,996,sewing shop
953,997,organic drug store
954,998,fashion designer
955,999,helicopter charter
956,1000,christmas store
957,1001,aquaculture farm
958,1002,aquarium
959,1003,fish farm
960,1004,tropical fish store
961,1005,website designer
962,1006,aquatic centre
963,1007,sleep clinic
964,1008,sewing machine repair service
965,1009,video conferencing equipment supplier
966,1011,horse riding school
967,1012,food machinery supplier
968,1013,food manufacturing supply
969,1015,wholesale food store
970,1016,repair service
971,1017,sewing machine store
972,1018,costa rican restaurant
973,1019,bicycle club
974,1020,equestrian facility
975,1021,pond fish supplier
976,1022,horse riding
977,1023,stable
978,1024,warehouse club
979,1025,furniture wholesaler
980,1026,tire shop
981,1027,oyster supplier
982,1028,vegetable wholesaler
983,1029,vacuum cleaner repair shop
984,1030,vacuum cleaner store
985,1031,nepalese restaurant
986,1032,horse rental service
987,1033,record store
988,1034,eyebrow bar
989,1035,eyelash salon
990,1036,hairdresser
991,1037,hearing aid store
992,1038,tofu restaurant
993,1039,native american goods store
994,1040,silversmith
995,1041,greek orthodox church
996,1042,metaphysical supply store
997,1044,halfway house
998,1045,addiction treatment center
999,1046,alcoholism treatment program
1000,1047,mental health service
1001,1048,rubber products supplier
1002,1049,hose supplier
1003,1050,antique furniture store
1004,1052,italian
1005,1055,coffee  tea
1006,1057,pet
1007,1058,pet adoption
1008,1060,american new
1009,1061,american traditional
1010,1062,nightlife
1011,1066,beer bar
1012,1067,automotive
1013,1069,sandwich
1014,1071,grocery
1015,1072,couriers  delivery services
1016,1073,local services
1017,1074,food delivery services
1018,1075,organic stores
1019,1076,specialty food
1020,1077,health markets
1021,1078,japanese
1022,1079,sushi bars
1023,1080,fast food
1024,1081,pizza
1025,1082,chicken wings
1026,1083,chinese
1027,1084,thai
1028,1085,tapassmall plates
1029,1086,drugstore
1030,1087,health  medical
1031,1088,shopping
1032,1089,filipino
1033,1090,mexican
1034,1091,latin american
1035,1092,asian fusion
1036,1093,burger
1037,1094,dessert
1038,1096,chocolatiers  shops
1039,1097,ethnic food
1040,1098,middle eastern
1041,1100,coffee roasteries
1042,1101,home  garden
1043,1102,kitchen  bath
1044,1104,event planning  services
1045,1105,fitness  instruction
1046,1106,beauty  spas
1047,1107,cosmetics  beauty supply
1048,1108,active life
1049,1109,yoga
1050,1110,vitamins  supplements
1051,1111,caribbean
1052,1112,food trucks
1053,1113,breakfast  brunch
1054,1114,indian
1055,1115,cajuncreole
1056,1116,noodle
1057,1117,barbeque
1058,1118,salad
1059,1119,bagel
1060,1120,cheesesteaks
1061,1121,african
1062,1122,kebab
1063,1123,mediterranean
1064,1124,lebanese
1065,1125,greek
1066,1126,juice bars  smoothies
1067,1127,ice cream  frozen yogurt
1068,1128,creperies
1069,1129,gelato
1070,1130,comfort food
1071,1131,wine bars
1072,1132,food stands
1073,1134,flowers  gifts
1074,1137,korean
1075,1139,vietnamese
1076,1140,french
1077,1141,cupcake
1078,1143,ukrainian
1079,1144,soul food
1080,1145,southern
1081,1146,soup
1082,1147,taco
1083,1148,meat shops
1084,1149,fruits  veggies
1085,1150,beer
1086,1151,wine  spirits
1087,1152,canadian new
1088,1153,steakhouse
1089,1155,texmex
1090,1156,pakistani
1091,1157,sicilian
1092,1159,themed cafes
1093,1162,fashion
1094,1163,pet sitting
1095,1164,accessory
1096,1166,pet services
1097,1168,vegetarian
1098,1169,fish  chips
1099,1170,teppanyaki
1100,1171,szechuan
1101,1173,falafel
1102,1174,halal
1103,1177,festival
1104,1178,venues  event spaces
1105,1179,wine tasting room
1106,1180,shopping centers
1107,1181,wrap
1108,1183,oriental
1109,1184,laotian
1110,1186,glutenfree
1111,1187,acai bowls
1112,1188,hawaiian
1113,1189,donut
1114,1190,boat charters
1115,1191,arabic
1116,1192,vegan
1117,1193,pretzel
1118,1194,jazz  blues
1119,1195,music venues
1120,1196,car stereo installation
1121,1197,auto detailing
1122,1198,trailer repair
1123,1199,parking
1124,1200,self storage
1125,1201,rv repair
1126,1202,smog check stations
1127,1204,oil change stations
1128,1205,counseling  mental health
1129,1206,transmission repair
1130,1207,body shops
1131,1208,windshield installation  repair
1132,1209,auto glass services
1133,1210,tire
1134,1211,roadside assistance
1135,1212,battery stores
1136,1213,fondue
1137,1214,poutineries
1138,1215,custom cakes
1139,1216,buffet
1140,1218,day spas
1141,1219,hotels  travel
1142,1220,skin care
1143,1222,irish
1144,1223,gay bars
1145,1224,service stations
1146,1226,cantonese
1147,1227,tea rooms
1148,1228,imported food
1149,1229,moroccan
1150,1230,wholesale stores
1151,1233,liveraw food
1152,1234,food tours
1153,1235,tour
1154,1236,dive bars
1155,1238,hot dogs
1156,1239,bubble tea
1157,1240,shaved ice
1158,1241,pan asian
1159,1242,turkish
1160,1243,butcher
1161,1247,electronics
1162,1248,wedding planning
1163,1249,donairs
1164,1250,street vendors
1165,1251,arcade
1166,1252,party  event planning
1167,1253,indoor playcentre
1168,1254,kids activities
1169,1255,patisseriecake shop
1170,1256,delicatessen
1171,1257,whiskey bars
1172,1258,eatertainment
1173,1260,bowling
1174,1261,poke
1175,1263,macarons
1176,1264,party supplies
1177,1265,british
1178,1266,book
1179,1267,mag
1180,1268,music  video
1181,1269,bookstore
1182,1271,walking tours
1183,1273,attraction farms
1184,1274,pick your own farms
1185,1276,local flavor
1186,1277,barber
1187,1278,cambodian
1188,1280,peruvian
1189,1281,spanish
1190,1282,cuban
1191,1283,massage
1192,1284,massage therapy
1193,1285,perfume
1194,1286,personal shopping
1195,1287,customized merchandise
1196,1288,cultural center
1197,1289,herbal shops
1198,1290,mover
1199,1291,home cleaning
1200,1293,junk removal  hauling
1201,1294,home services
1202,1296,hot pot
1203,1297,puerto rican
1204,1298,dominican
1205,1299,mini golf
1206,1300,batting cages
1207,1301,german
1208,1302,russian
1209,1303,mobile phones
1210,1304,cards  stationery
1211,1305,arts  crafts
1212,1306,waffle
1213,1307,new mexican cuisine
1214,1308,kosher
1215,1309,brewing supplies
1216,1310,popup shops
1217,1311,outlet stores
1218,1312,transportation
1219,1313,party bus rentals
1220,1314,wine tours
1221,1315,limo
1222,1316,international grocery
1223,1317,ethnic grocery
1224,1318,mens clothing
1225,1319,taiwanese
1226,1321,singaporean
1227,1322,bridal
1228,1323,beverage store
1229,1324,salvadoran
1230,1325,propane
1231,1326,persianiranian
1232,1327,dim sum
1233,1328,smokehouse
1234,1329,afghan
1235,1330,parent cafes
1236,1331,fishing
1237,1332,hunting  fishing supplies
1238,1334,photography stores  services
1239,1335,tiki bars
1240,1336,basque
1241,1337,home decor
1242,1338,ramen
1243,1339,herbs  spices
1244,1340,country dance halls
1245,1342,musical instruments  teachers
1246,1343,nurseries  gardening
1247,1344,maternity wear
1248,1345,used
1249,1346,vintage  consignment
1250,1348,jewelry
1251,1349,indonesian
1252,1350,empanadas
1253,1351,public services  government
1254,1352,security systems
1255,1353,pawn shops
1256,1354,baby gear  furniture
1257,1355,personal chefs
1258,1356,popcorn shops
1259,1357,recording  rehearsal studios
1260,1358,musician
1261,1359,vinyl records
1262,1360,brazilian
1263,1361,it services  computer repair
1264,1362,mobile phone repair
1265,1363,popup restaurants
1266,1365,golf
1267,1367,community servicenonprofit
1268,1368,doityourself food
1269,1369,pancake
1270,1372,hobby shops
1271,1373,videos  video game rental
1272,1374,cinema
1273,1375,colombian
1274,1376,australian
1275,1377,resort
1276,1378,lahmacun
1277,1379,bartender
1278,1380,csa
1279,1381,animal shelters
1280,1382,education
1281,1383,olive oil
1282,1384,antique
1283,1385,hair removal
1284,1386,waxing
1285,1388,adult education
1286,1389,yelp events
1287,1390,specialty schools
1288,1391,cooking classes
1289,1392,cooking schools
1290,1393,art galleries
1291,1394,paint  sip
1292,1395,modern european
1293,1396,water purification services
1294,1397,water stores
1295,1398,champagne bars
1296,1399,weight loss centers
1297,1400,medical centers
1298,1401,home health care
1299,1402,pumpkin patches
1300,1404,eyebrow services
1301,1405,mens hair salons
1302,1406,real estate
1303,1407,shared office spaces
1304,1408,golf lessons
1305,1409,boating
